tempo,posicao,velocidade,aceleracao
0.0000,100.0000,0.0000,-9.8100
0.0010,100.0000,-0.0098,-9.8100
0.0020,100.0000,-0.0196,-9.8100
0.0030,100.0000,-0.0294,-9.8100
0.0040,99.9999,-0.0392,-9.8100
0.0050,99.9999,-0.0491,-9.8100
0.0060,99.9999,-0.0589,-9.8100
0.0070,99.9998,-0.0687,-9.8100
0.0080,99.9997,-0.0785,-9.8100
0.0090,99.9996,-0.0883,-9.8100
0.0100,99.9996,-0.0981,-9.8100
0.0110,99.9995,-0.1079,-9.8100
0.0120,99.9994,-0.1177,-9.8100
0.0130,99.9992,-0.1275,-9.8100
0.0140,99.9991,-0.1373,-9.8100
0.0150,99.9990,-0.1472,-9.8100
0.0160,99.9988,-0.1570,-9.8100
0.0170,99.9987,-0.1668,-9.8100
0.0180,99.9985,-0.1766,-9.8100
0.0190,99.9983,-0.1864,-9.8100
0.0200,99.9981,-0.1962,-9.8100
0.0210,99.9979,-0.2060,-9.8100
0.0220,99.9977,-0.2158,-9.8100
0.0230,99.9975,-0.2256,-9.8100
0.0240,99.9973,-0.2354,-9.8100
0.0250,99.9971,-0.2453,-9.8100
0.0260,99.9968,-0.2551,-9.8100
0.0270,99.9966,-0.2649,-9.8100
0.0280,99.9963,-0.2747,-9.8100
0.0290,99.9960,-0.2845,-9.8100
0.0300,99.9957,-0.2943,-9.8100
0.0310,99.9954,-0.3041,-9.8100
0.0320,99.9951,-0.3139,-9.8100
0.0330,99.9948,-0.3237,-9.8100
0.0340,99.9945,-0.3335,-9.8100
0.0350,99.9942,-0.3434,-9.8100
0.0360,99.9938,-0.3532,-9.8100
0.0370,99.9935,-0.3630,-9.8100
0.0380,99.9931,-0.3728,-9.8100
0.0390,99.9927,-0.3826,-9.8100
0.0400,99.9923,-0.3924,-9.8100
0.0410,99.9920,-0.4022,-9.8100
0.0420,99.9916,-0.4120,-9.8100
0.0430,99.9911,-0.4218,-9.8100
0.0440,99.9907,-0.4316,-9.8100
0.0450,99.9903,-0.4414,-9.8100
0.0460,99.9898,-0.4513,-9.8100
0.0470,99.9894,-0.4611,-9.8100
0.0480,99.9889,-0.4709,-9.8100
0.0490,99.9885,-0.4807,-9.8100
0.0500,99.9880,-0.4905,-9.8100
0.0510,99.9875,-0.5003,-9.8100
0.0520,99.9870,-0.5101,-9.8100
0.0530,99.9865,-0.5199,-9.8100
0.0540,99.9860,-0.5297,-9.8100
0.0550,99.9854,-0.5395,-9.8100
0.0560,99.9849,-0.5494,-9.8100
0.0570,99.9843,-0.5592,-9.8100
0.0580,99.9838,-0.5690,-9.8100
0.0590,99.9832,-0.5788,-9.8100
0.0600,99.9826,-0.5886,-9.8100
0.0610,99.9820,-0.5984,-9.8100
0.0620,99.9814,-0.6082,-9.8100
0.0630,99.9808,-0.6180,-9.8100
0.0640,99.9802,-0.6278,-9.8100
0.0650,99.9796,-0.6376,-9.8100
0.0660,99.9790,-0.6475,-9.8100
0.0670,99.9783,-0.6573,-9.8100
0.0680,99.9777,-0.6671,-9.8100
0.0690,99.9770,-0.6769,-9.8100
0.0700,99.9763,-0.6867,-9.8100
0.0710,99.9756,-0.6965,-9.8100
0.0720,99.9749,-0.7063,-9.8100
0.0730,99.9742,-0.7161,-9.8100
0.0740,99.9735,-0.7259,-9.8100
0.0750,99.9728,-0.7357,-9.8100
0.0760,99.9720,-0.7456,-9.8100
0.0770,99.9713,-0.7554,-9.8100
0.0780,99.9705,-0.7652,-9.8100
0.0790,99.9698,-0.7750,-9.8100
0.0800,99.9690,-0.7848,-9.8100
0.0810,99.9682,-0.7946,-9.8100
0.0820,99.9674,-0.8044,-9.8100
0.0830,99.9666,-0.8142,-9.8100
0.0840,99.9658,-0.8240,-9.8100
0.0850,99.9650,-0.8338,-9.8100
0.0860,99.9641,-0.8437,-9.8100
0.0870,99.9633,-0.8535,-9.8100
0.0880,99.9624,-0.8633,-9.8100
0.0890,99.9616,-0.8731,-9.8100
0.0900,99.9607,-0.8829,-9.8100
0.0910,99.9598,-0.8927,-9.8100
0.0920,99.9589,-0.9025,-9.8100
0.0930,99.9580,-0.9123,-9.8100
0.0940,99.9571,-0.9221,-9.8100
0.0950,99.9562,-0.9319,-9.8100
0.0960,99.9553,-0.9418,-9.8100
0.0970,99.9543,-0.9516,-9.8100
0.0980,99.9534,-0.9614,-9.8100
0.0990,99.9524,-0.9712,-9.8100
0.1000,99.9514,-0.9810,-9.8100
0.1010,99.9505,-0.9908,-9.8100
0.1020,99.9495,-1.0006,-9.8100
0.1030,99.9485,-1.0104,-9.8100
0.1040,99.9475,-1.0202,-9.8100
0.1050,99.9464,-1.0300,-9.8100
